Team Name,University Name,Rank
DIIT_RUNTIME_TERROR,DAFFODIL INSTITUTE OF IT,1
DU_DILIGENCE,UNIVERSITY OF DHAKA,1
BUET STORM'S END,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,2
QUANTUM GUYS,JAGANNATH UNIVERSITY,3
RU LEGION,UNIVERSITY OF RAJSHAHI,3
CUET_OFF_WE_GO,CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,4
GREEN THUNDER,GREEN UNIVERSITY OF BANGLADESH,5
DU_UNSATISFIEDSOULS,UNIVERSITY OF DHAKA,5
NINJA_BROS,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,6
DU_STRONG_ENOUGH,UNIVERSITY OF DHAKA,6
BYTE_FUSION,Compact Polytechnic Institute,7
MURIRTEAM,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,8
DU_RAEMON,UNIVERSITY OF DHAKA,8
SAYONARA_SAMURAI,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,9
DU ASMODEUS,UNIVERSITY OF DHAKA,9
DU_PROMETHEUS,UNIVERSITY OF DHAKA,10
ZIMA BLUE,UNIVERSITY OF DHAKA,11
GUB_CODECRAFTERS,GREEN UNIVERSITY OF BANGLADESH,12
TEAM ENDEAVOR,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,12
সাস্ট_জিপিটিযোদ্ধা,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,12
DU_TRIPLEHASH,UNIVERSITY OF DHAKA,13
LAZY_CODERS,UNIVERSITY OF RAJSHAHI,13
RUET_UNKNOWNS,RAJSHAHI UNIVERISTY OF ENGINEERING AND TECHNOLOGY,14
TEAM CODEX,SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,14
UAP_THREE_MUSKETEERS,UNIVERSITY OF ASIA PACIFIC,14
ALPHA CENTAURI,RANGAMATI SCIENCE & TECHNOLOGY UNIVERSITY,15
UNTITLED,DAFFODIL INTERNATIONAL UNIVERSITY,16
JUST_POWER_RANGERS,JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,16
